"Origen";" Destino";" Fecha de Salida";" Hora de Salida";" Hora de Llegada"
"Bogotá (BOG)";"Santa Clara (SNU)";"17-jun-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"24-jun-22";"04:49";"07:09"
"Bogotá (BOG)";"Santa Clara (SNU)";"28-jun-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"05-jul-22";"04:49";"07:09"
"Bogotá (BOG)";"Santa Clara (SNU)";"04-jul-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"11-jul-22";"04:49";"07:09"
"Bogotá (BOG)";"Santa Clara (SNU)";"10-jul-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"17-jul-22";"04:49";"07:09"
"Bogotá (BOG)";"Santa Clara (SNU)";"16-jul-22";"22:58";"03:39"
"Habana (HAV)";"Bogotá (BOG)";"23-jul-22";"13:48";"16:08"
"Bogotá (BOG)";"Santa Clara (SNU)";"13-ago-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"20-ago-22";"04:49";"07:09"
"Bogotá (BOG)";"Santa Clara (SNU)";"10-sep-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"17-sep-22";"04:49";"07:09"
"Bogotá (BOG)";"Santa Clara (SNU)";"16-sep-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"23-sep-22";"04:49";"07:09"
"Bogotá (BOG)";"Santa Clara (SNU)";"29-nov-22";"22:58";"03:39"
"Santa Clara (SNU)";"Bogotá (BOG)";"06-dic-22";"04:49";"07:09"
